PageNo,Text
1,"['UTLÄGGNINGSSKRIFT nr 357 455', 'Int CI', 'G 03 g 15/22', 'P.ans. nr', '8753/69', 'Inkom den', '19 VI 1969', 'Giltighetsdag den', '3 XI 1967', 'PATENT- OCH', 'Ans. allmänt tillgänglig den', '1 VII 1968', 'REGISTRERINGSVERKET', 'Ans. utlagd och utläggnings-', 'skriften publicerad den', '25 VI 1973', 'Prioritet', 'begärd frân den 5 XI 1966', '(Japan, 72 811)', 'CANON KK, TOKYO, JAPAN', 'Uppfinnare: T Hasegawa, Tokyo, T Sato, Kawaguchi-shi, H Tanaka och S Takamashi,', 'Tokyo', 'Ombud: N Larfeldt', 'Elektrofotografisk kopieringsanordning', 'Föreliggande uppfinning hänför sig till en elektrofotografisk', 'kopieringsanordning för framställning av kopior av ett original,', 'innefattande en fotoelektriskt ledande plât med ett isolerande skikt', 'och ett fotoelektriskt ledande skikt, anordningar för att tillföra', '5', 'en primärladdning till plâten, anordningar för att exponera med en', 'originalbild och samtidigt tillföra en koronaurladdning till plâten,', 'anordningar för att utsätta plâten för besträlning för allmän akti-', 'vering av dess fotoelektriskt ledande skikt, samt framkallningsanord-', 'ningar för synliggörande av den erhállna, latenta elektrostatiska', '10 bilden.', 'Vid den elektrofotografiska kopieringsanordningen enligt svenska', 'patentskriften 339 409 för bildande av en statisk bild med hög', 'kontrast pá det isolerande skiktet erfordras nya anordningar, vilka', 'skiljer sig fran konventionella kopieringsanordningar, icke enbart', '15 för alstrande av en statisk bild, utan jämväl för framkallning, över-', 'föring av bilden, rengöring etc, därigenom att kontrasten hos den', 'statiska bilden blir 1000 V till 1500 V. Den yta, pá vilken den', 'statiska bilden uppstär, utgöres samtidigt av ett jämnt och i höe', 'grad isolerande skikt. För det fall att den sekundära koronaurladd-', '20 ningen är en likströmskorona och att en positiv-positiv bild skall', 'Dupl.kl. G 03 g 15/08']"
2,"['2', 'erhâllas, klibbar tonaren med motsatt polaritet fast vid de icke', 'laddade partierna, eller de partier, där laddningsgraden är lâg.', 'Härigenom undvikes bildslöja, även när man sprutar pã tonaren sam-', 'tidigt, enär ytan är jämn. Det finns heller ingen risk att ens vid', '5 stark gnidning en mekaniskt slöjad bild skall uppstã, varför en ut-', 'märkt synlig bild kan alstras.', 'Den statiska bild som uppstär, när den pálagda sekundära', 'koronaurladdningen är en växelströms-korona, är framförallt bunden', 'till de mörka partierna i originalbilden samt bildas av den positiva', '10 laddningen (för det fall att den primära laddningen är positiv),', 'medan 1 originalbildens ljusa partier en negativ laddning uppstar,', 'varigenom en positiv och negativ statisk bild alstras, och slöjade', 'bilder undvikas av samma skäl som da den sekundära koronaurladdningen', 'är av likströms-typ. I beda fallen har den statiska bilden hög kontrast,', '15 varför förspänningsmetoden för framkallning mycket effektivt kan', 'användas.', 'Uppfinningens syfte är silunda att âstadkomma en ny typ av fram-', 'kallningsanordning för en elektrostatisk kopieringsanordning, varvid', 'uppfinningen utmärks av att framkallningsanordningarna bestär av', '20 en anordning med pälshärsborste.', 'Detta och andra ändamäl och fördelar hos föreliggande uppfinning', 'klargöres närmare 1 nedanstäende beskrivning, varvid hänvisning görs', 'till bifogade ritningar, 1 vilka:', 'fig. 1 är en delvis bortskuren perspektivskiss över en', '25 utföringsform av uppfinningen, vari den fotoelektriskt ledande', 'pläten är utförd 1 form av en trumma,', 'fig. 2 är ett vertikalt tvärsnitt av utföringsformen enligt', 'fig. 1,', 'fig. 3 är en perspektivskiss över den bandformiga borsten', '30 för framkallning samt pläggningsanordningen för tonaren enligt', 'utföringsformen 1 fig. 3,', 'fig. 4 är ett vertikalt tvärsnitt av fig. 5', 'fig. 5 är ett längssnitt av ändpartiet av drivrullen för den', 'bandformiga borsten,', '35', 'fig. 6 är en delvis bortskuren perspektivskiss över en', 'utföringsform av framkallningsanordningen,', 'fig. 7 visar ett tvärsnitt 1 längsriktningen av fig. 1.', 'Den utföringsform av uppfinningen, vid vilken en elektrofoto-', 'grafisk plât 1 form av en trumma används, visas i fig. 1-5. Den', '40 horisontellt monterade trumman 216 roteras']"
3,"['357455', 'med hjälp av en motor (icke visad) med en periferihastigher om cirka', '5 till 10 cm/s och 1 den av pilen visade riktningen. Plâten, bestäende', 'av tre skikt, är monterad pã trummans periferi, varvid det genom-', 'skinliga isolerskiktet 13 är det yttersta skiktet.', '5', 'De övriga operativa elementen är samlade omkring trummans', 'periferi. Sâsom framgär av ritningarna innefattar dessa urladdnings- -', 'anordningen 217 för primärladdningen, urladdningsanordningen och', 'exponeringsöppningen 218 för sekundärladdningen, anordningen L2 för', 'allmänexponering, framkallningsanordningen D1, matningsanordningen 219', '10', 'för kopiepapper, kopievalsen 220, transportbandet 221 avskalningsanord-', 'ningen 222 för kopiepapperet samt rengöringsanordningen G1°', 'Pã stommen eller huset 215 är en ljus-spalt G med ringa bredd', 'anordnad samt fönstret 223. Vid nedre delen av stommens 215 framsida', 'finns en utmatningsöppning 224 för kopiorna samt hâllaren 225 för', '15 dessa. Ett par parallella skenor 226 är medelst lagringarna 227', 'fästade vid den hogra och vänstra sidan av stommens överdel och', 'underlägget 228 för bildoriginalet är monterat pi dessa, pà sadant', 'sätt att det fritt kan röras fram och tillbaka. Fönstret 229 av', 'genomskinligt glas eller konstharts eller liknande är monterat i', '20 underlägget 228, och bildoriginalet 2 placeras pá detta. Originalet', 'tryckes uppifrán plant medelst tryckplattan 230.', 'Lamphuset 231 avgränsar ljusslitsen G pa bâda sidor, och dess', 'inre yta utgöres av en reflekterande spegel eller liknande.', 'Fluorescenslampor 11 är monterade 1 detta. Bildoriginalet` 2, vilket', '25 är placerat pã underlägget 228, belyses genom fönstret 223. Bild-', 'originalets belysta yta projicieras mot plâten 1 pâ trummans periferi', 'medelst det optiska systemet och genom exponeringsslitsen 218. Det', 'optiska systemet bestâr av den reflekterande spegeln 232, linsen 233', 'samt den reflekterande spegeln 234, vilka för ljuset frân fönstret 223', '30 och slitsen G. Det optiska systemet omges av ljusládan 235, vilken', 'förhindrar att ljus inkommer 1 andra delar av anordningen.', 'Kopiering utförs pã samma sätt som vid plana utföringsformer.', 'Likströms-högspänning tillförs till urladdningstrâdarna 1 urladd-', 'ningsanordningen 217 för päläggande av den primära laddningen pa ytan', '35 hos den roterande fotoelektriskt ledande plâten 1. Den statiskt', 'latenta bilden, vilken överensstämmer med ljusbilden, uppstär pa', 'den fotoelektriskt ledande plâten 1, dã denna utsätts för sekundär-', 'laddningen frân urladdningskällan 236, samtidigt med att ljusbilden', 'frân bildoriginalet projicieras frân exponeringsslitser 218, varvid', '40', 'trumman 216 roterar. Beroende pá den kopia man önskar erhâlla, utgörs']"
4,"['357455', 'sekundärladdningen av en växelströms-koronaurladdning eller en', 'likströms-koronaurladdning av mot primärladdningen motsatt polaritet.', 'Rörelsehastigheterna hos bildoriginalet och hos pläten maste stâ 1', 'ett specifikt förhällande, och trummans drivmekanism samt rörelse-', '5 mekanismen för bildoriginalet är sammankopplade pã sätt som beskrivits', 'i den amerikanska patentskriften 2.959.095.', 'För ökande av kontrasten belyses därefter den statiskt latenta', 'bilden pá pläten 1 medelst anordningen L2 för allmänexponering,', 'vilken innefattar den reflekterande spegeln 237 och lampan 12. Bilden', '10 framkallas därefter medelst framkallaren av färgat tonarpulver i', 'framkallningsanordningen D1. Matarvalsen 238 för kopiepapperet i mat-', 'ningsanordningen 219, skjuter ark för ark in kopi ppapperet P mellan', 'trumman 216 och valsen 220, varvid papperet kommer frin upplaget 239', 'via matnings och ledanordningarna 240, 2402, 2437, 2432, 245 samt rul-', '15 larna 242 och 244. Papperet trycks medelst kopieringsvalsen 220 mot', 'ytan av den bildbärande plâten, varvid pulverbilden överförs till', 'kopiepapperet P. När trumman 216 roterar vidare, avskalas papperet P', 'frân den fotoelektriskt ledande plâten 1 médelst avskalningsanord-', 'ningen 222 samt överförs till transportbandet 221. Detta för papperet', '20 mot utmatningsöppningen varvid papperet uppvärms och termiskt fixeras', 'medelst den infraröda lampan 247, belägen i kâpan 246. Fixering er-', 'hálls genom smältning av hartset i framkallningspulvret. Medelst', 'ledrullarna 248 sändes papperet därefter frân utmatningsöppningen 224', 'till hâllaren 225.', '25', 'Framkallningspulver som kvarblivit pa den fotoelektriskt ledande', 'plâten avlägsnas medelst rengöringsanordningen C1, och plâten ater-', 'vänder därefter till delen 217 för primärladdning. En cykel av', 'kopieringsförloppet är därmed fullbordad.', 'Fig. 4 visar matningsdelen för tonaren, vilken bestär av be-', '30 hâllaren 251 med locket 250 under öppningen 249 1 stommens 215 bak-', 'sida. En roterande ventil 252 är anordnad i den trattformiga öpp-', 'ningen vid behâllarens 251 nederdel, och urtag 253, fyllda med tonare,', 'tillförs efter hand framkallningskammaren 254. Tonaren 1 behällaren', '251 samt vid bottnen 254 1 av ""ramkallningskammaren omrörs inter-', '35 mittent eller kontinuerligt av respektive blandarvingar 255 och 256,', 'sã att tonaren hindras frân ett klumpas samman. Tonaren kan alternativt', 'tillföras frán en horisontal riktning medelst en skruvtransportör.', 'Remmen 257 är försedd med en pälshärsborste, vilken med tryck', 'ligger an emot plâten 1 pa trumman 216. Remmen 257 är spänd över', '40 främre och bakre rullar 258, 259 och drivkraft tillförs den ena av']"
5,"['5', 'rullarna. De roteras med cirka 1,5 gänger hastigheten hos trumman', 'samt 1 samma riktning som trummans rotation. Man kan även rotera', 'rullarna i motsatt riktning mot trummans rotation, varvid dock en', 'mer eller mindre slöjad bild kan erhâllas.', '5', 'Pälshärsborsten fungerar sãsom bärare pÂ samma sätt som vid', 'utförandeformen enligt fig. 2, och samma förhällanden gäller be-', 'träffande pälshärsborsten i denna utföringsform, inklusive det', 'material av vilket den är utförd, dess elektriska motstand och lik-', 'nande.', '10', 'Vid den punkt, där remmen 257 gar runt rullarna 258, 259,', 'omges borsten av och ligger an emot halvcirkelformiga skydd 260, 261.', 'Avständet mellan remmen 257 och skydden 260, 261 bör vara mellan 40', 'och 95 % av längden hos hâren 1 borsten, sã att hâren ligger an mot', 'skydden. Detta avständ reglerar den mängd tonare, vilken stannar kvar', '15 i borsten. Gni.dningselektricitet (d. V. S. statisk elektricitet) alstras', 'ocksà mellan hâren och skydden, och det är därför önskvärt att man', 'väljer tonarmaterial med samma polaritet som den gnidningselektriska', 'laddningen hos tonaren. För exempelvis det fall att en positiv-positiv', 'bild erhâlls, väljs materialet pã sádant sätt, att tonaren laddas', '20 med motsatt polaritet mot primärladdningen hos den fotoelektriskt', 'ledande plâten. När exempelvis primärladdningen är positiv och', 'kaninhär används för borsten, kan ett pikolastiskt harts eller fenol-', 'harts, färgat med kol eller liknande användas. För det fall att', 'den sekundära laddningen är negativ, bildas den statiska bilden genom', '25 den negativa laddningen, som adheras till ljusbildens ljusa partier.', 'Det bör observeras att den omvända framkallningen vid Carlson-för-', 'farandet blir den normala framkallningen vid föreliggande förfarande.', 'När en negativ-positiv bild framställs, blir förhällandet naturligt-', 'vis omvänt.', '30', 'Pälshärsborster roteras, medan tonaren omröres, och tonaren', 'har en laddning med motsatt polaritet (-) mot laddningen hos borsten.', 'Den adheras till borsten samt kommer i beröring med plâten vid', 'borstens anliggningsyta mellan rullarna 258 och 259. Den latenta', 'bilden framkallas genom attraktionen av statisk elektricitet, erhällen', '35 genom laddning av den statiska bilden och genom framkallarens laddning.', 'Vid en föredragen utföringsform är rullarna 258 och 259 medelst de', 'isolerande stödplâtarna 262, 263 monterade pâ stommen 215, varigenom de', 'isoleras frän stommen. Axeln 267, ändstycket 268 samt den cylindriska', 'delen 269 är utförda av ledande material. En släpring 270 är anordnad', '40 pi axeln och en likspänning exempelvis en förspänning om cirka 300 till']"
6,"['6', '1000 V tillförs densamma frán den elektriska källan 272. Polariteten', 'hos den tillförda förspänningen pâverkar spänningen, vilken har motsatt', 'polaritet mot laddningspolariteten, mellan tonaren och borsten vid', 'punkten 01 (fig. 4) där pälshärsborsten lämnar plâten. Pa grund härav', '5 attraherar borsten den tonare, som adherats vid de icke bildförsedda', 'partierna 1 detta omrâde, varigenom slöjningen av bilden minskas.', 'När den till borsten tillförda spänningen har samma polaritet', 'som laddningspolariteten hos tonaren, ökas adherensen mellan tonaren', 'och platens 1 yta inom omrâdet 82, där borsten pabörjar framkall-', '10 ningen. När sãlunda plâten över ett avsevärt stycke utsätts för', 'friktionen frân pälshärsborsten pá remmen, blir den sammanlagda', 'effekten i första steget att päläggandet av tonaren paskyndas, i.', 'mellansteget förefinns en reglerande effekt, och 1 slutsteget en', 'slöjborttagande effekt. Denna anordning är synnerligen effektiv och', '15 en statiskt latent bild med hög kontrastspänning bildas.', 'Fig. 3, 4 och 5 visar en utföringsform av drivmekanismen för', 'borstremmen samt matningsanordningen för tonaren. Rotationen hos', 'motorn Mg, vilken medelst skruvarna 275 är fästad vid stommen 215,', 'överförs medelst remmen 276 eller kugghjul till borstrullens 259', '20', 'axel 2591° och den överförs vidare för vridning av axeln 2581 hos', 'borstrullen 258 genom remskivorna 264, 265 och remmen 266. Andra', 'roterande element, vilka är monterade pa axlarna 2521, 2551 och 256,', '(den roterande ventilen 252 samt blandarvingarna 255 och 256) erhäller', 'sin kraft frán remmen 278 och remskivorna 279-282. Uppfinningen är', '25 givetvis icke begränsad till den speciella anordning av remmar och', 'pälshärsborste som beskrivits, och varje typ av roterande pälshars-', 'borste med de nämnda bäraregenskaperna kan användas.', 'Fig. 6 och 7 visar framkallningsanordningen vid en kopierings- -', 'anordning med plan plât. Framkallningslédan 86 är upphängd ovanför', '30 plâten 1 vinkelrätt mot riktningen för den fram- och', 'rörelsen hos plâten. En borstplatta 88 med en nedâtriktad pälshärsborste', 'är upphängd vid den nedre ytan av bottnen 861. Om päls av kanin eller', 'grävling används, mâste denna förädlas före användningen. Man kan även', 'klistra pälsen pá plattan 88. Sma hál eller slitsar 86, och 881 är', '35 anordnade respektive 1 bottnen 861 och plattan 88, âtskilda frán', 'borsten 87. Plattan 88 med pälshärsborsten 87 är sã placerad, att', 'hálen 86, 2 och 88. 1 icke överensstämmermed varandra, när framkallning', 'icke utförs. När framkallning däremot utförs, roteras motorn M1.', '(vilken medelst fästet 93 är fästad vid undersidan av framkallnings', '40 ládans 86 stödram 902), varigenom excenterskivan 91 drivs och rotationen']"
7,"['357455', 'överförs till den pé plattan 88 anordnade staven 93, vilken är för-', 'sedd med excentertappen 92. Pälshärsborsten 87 förflyttas därvid fram', 'och áter tvärs emot riktningen hos plâten 1, och framkallaren,', 'vilken vid de tillfällen da hâlen 86, 2 och 88 1 överensstämmer med', '5 varandra, borstas medelst borsten 87 över plâten, varigenom framkall-', 'ningen utförs.', 'Vid drift fungerar borsten 87 sásom bärare, varigenom enbart', 'tonare kan användas för framkallningen. Som ovan nämnts kan päls av', 'kanin eller grävling användas eller ocksà kan människohár, syntet-', '10 fiber eller liknande användas, förutsatt att det som används har ett', 'specifikt motständ, överstigande 108n -cm. Längden hos fibern', 'bör', 'justeras, sè att den böjs, när borsten vidrör plâten, enär tonare', 'som faller frán hálen 881 icke bör falla direkt pá plâten. Fördelen', 'med denna utföringsform är att tonare, vilken adherats vid de vita', '15 partierna hos bilden pá plâten, och vilken skulle kunna förorsaka', 'slöja, avlägsnas av pälshärsborsten medelst gnidnings-elektricitet', '(d.v.s. statisk laddning) mellan pälshärsborsten och plâten. En', 'spiralfjäder 94 används för upphängning av borstplattan 88.', 'Den fotoelektriskt ledande plâten 1 pá basen 50 framflyttas', '20 kontinuerligt, medan den erhäller ovannämnda framkallningsbehandling,', 'tills den anländer till bildöverföringsläget. När överföringen av', 'bilden är fullbordad, rengöres plâten och äterföres till läget för', 'alstrandet av den latenta statiska bilden, där den stannar.', 'PATENTKRAV', '1. Elektrofotografisk kopieringsanordning för framställning av', 'kopior av ett original, innefattande en fotoelektriskt ledande plat (1)', 'med ett isolerande skikt och ett fotoelektriskt ledande skikt, anord-', 'ningar (217) för att tillföra en primärladdning till plâten, k ä n n e-', 't e C k n a d av anordningar (218, 233) för att exponera med en original-', 'bild och samtidigt tillföra en koronaurladdning till plâten, anordningar', '(237) för att utsätta platen för besträlning för allmän aktivering av', 'dess fotoelektriskt ledande skikt, samt framkallningsanordningar (256,', '258) för synliggörande av den erhâllna, latenta elektrostatiska bilden,', 'vilka omfattar en anordning (256, 258) med pälshärsborste.', '2. Anordning enligt kravet 1, K ä n n e t e c K n a d av att', 'framkallningsanordningen med pälshärsborste är sã anordnad att päls-', 'härsborsten är upphängd i form av ett ändlöst band (257) tätt intill', 'det isolerande skiktets yta, varvid borsten kringvrids under det att', 'den borstar den yta, pa vilken den statiska bilden uppstar, för att']"
8,"['8', 'därigenom synliggöra den pâ plâtens isolerande skikt erhâllna statiska', 'bilden.', '3. Anordning enligt kravet 1 eller 2, k à n n e t e c k n a d', 'av att en förspänning tillföres (272, 270, 271) till pälshärsborsten', '1 närheten av det slutliga framkallningsförloppet, varvid förspän-', 'ningen har samma polaritet som polariteten hos den laddning, vilken', 'alstras vid friktion mot ett tonarmaterial.', '4. Anordning enligt kravet 1 eller 2, k à n n e t e e k n a d', 'av att en förspänning tillföres (272, 270, 271) till pälshärsborsten', '1 närheten av det slutliga framkallningsförloppet, varvid förspän-', 'ningen har motsatt polaritet mot polariteten hos den laddning, vilken', 'alstras vid friktion mot ett tonarmaterial.', '5. Anordning enligt kravet 1, k à n n e t e e k.n a d', 'av', 'anordningar (94, 108) för reglering av kontakttrycket mellan päls-', 'harsborsten och ytan med den statiska bilden.', '6. Anordning enligt kravet 1, k ä n n e t e c k n a d av att', 'en fördelningsplät (86, 88) är anordnad, att ett antal smâ hâl', '(862, 881) eller slitsar är anordnade i dennas nedre del, samt att', 'pälshärsborsten är fäät vid fördelningsplätens nedre del, dock', 'icke inom de ytor, som upptages av hâlen, samt anordningen är försedd', 'med regleranordningar (91, 92, 93) vid fördelningsplattan för', 'omröring av conarmaterialet samt för att reglera mängden av genom hâlen', 'eller slitsarna nedfallande tonarmaterial, vilket sker genom reglering', 'av hastigheten och amplituden hos den inbördes sidorörelsen mellan', 'fördelningsplaten och reglerdelen.', 'ANFÖRDA PUBLIKATIONER:']"
9,"['FIG. 1', '230', '2', '229', 'lo', '226', '227', '223', 'm', '228', '215', 'G', '226 227', 'O', 'a', '305', '218', '304', 'L2', 'C1', 'l2', '3', '217', '1', '237', '216', 'o', '246', 'D1', '222', 'R', 'a', '225', '247', '224', '220', '221 t', '248', '219', ')', 'P', '238', 'I']"
10,"['234', '13 223', 'Li', '226', '231', 'A', 'ASY', '249', '233', 'FIG.2', '235', '250', '236', 'G', 'F', '232', '300', 'l2', '301', 'L2', 'C1', '302', '304', '237', '218', '215', '2171', 'O', '303', 'o', '258', '252', 'o', '216', 'on', '248', '254', 'o', '222', '246', 'o', '224 225', 'o', 'o', '(O)', '220', '247', 'O', '256', '245', '221', '257', '244', '2432', '238', '2431', '2402', 'o', 'O', 'o', 'P', '242', '2401', '239', 'FIG. 3', 'e', '260', '251', '258', '2581', '280', '279', 'o', '255', '255i', '0', 'D', 'o', 'o', '281', '257', 'D', '265', '2521', '277', '2591', '278', '258t', '10', '259', '282', '2561', 'D', 'x', '""266', 'a', 'O', '264', 'IT', '259', '276', 'T', 'M9', '275']"
