PageNo,Text
1,"['UTLÄGGNINGSSKRIFT nr 335 661', 'Int CI B 23 p 3/09 Kl. 49 1 3/09', 'P.ans. nr', '59/69', 'Inkom den', '3 I 1969', 'Giltighetsdag den', '3 I 1969', 'PATENT- - OCH', 'Ans. allmänt tillgänglig den', '4 VII 1969', 'REGISTRERINGSVERKE', 'Ans. utlagd och utläggnings-', 'skriften publicerad den', '1 VI 1971', 'Prioritet', 'begärd frân den 3 I och 30 VII', '1968 (USA, 695 506, 756 704)', 'E.I. DU PONT DE NEMOURS AND co., WILMINGTON, DEL. USA', 'Uppfinnare: W F Sharp jr, Bellmawr och T J Enright, Woodbury, Heights, N.J.', 'Ombud: N Larfeldt', 'Explosionsplätering av aluminium till stal', 'De amerikanska patentskrifterna 3 137.937 och 3 264 731 beskriver', 'förfaranden för framställning av metallurgiskt bundna, inklädda pro-', 'dukter med hjälp av sprängämnen. Enligt de beskrivna förfarandena', 'sammandrives de metallskikt som skall metallurgiskt bindas med ett', '5', 'sprängämne, sã att de :bringas att fortgaede kollidera med en hastig-', 'het som är lägre än 120 % och lämpligen lägre än 100 of av ljudhastig-', 'heten i den metall i beläggningssystemet som har den högre ljudhastig-', 'heten. Metallskikten är i början separerade fran varandra i en vinkel,', 'som vanligen är mindre än 40° och lämpligen cirka 0° (dvs de ür', '10', 'väsentligen parallella) och ett skikt av ett detonerande sprängämne an-', 'bringas nära den yttre ytan av atminstone ett av skikten och därefter', 'initieras för erhällande av erfordrad fortgaede kollision.', 'Tre slag av förbandzoner, var och en helt metallurgisk, kan er-', 'hallas med dessa förfaranden: direkt metall-till-metall, ett jämnt,', '15', 'smält skikt eller en blandning av dessa anordnad i vägmönster. ""Di-', 'rekt metall- till -metall"" innebär att metallerna är sammanbundna vid', 'sina mötande ytor och bildar en gemensam yta, utan ett mellanliggande', 'skikt av solidifierande smälta däremellan. Den ""jämnt smälta skikt"".', 'typen av förbandszon är sãdan, vari metallerna ür sammanbundna genom', '1.', '.']"
2,"['2', 'ett mellanliggande skikt av solidifierad smälta av väsentligen homogen', 'komposition, som bildar väsentligen tvã mellanliggande ytor. Sett', 'som ett tvärsnitt lagt normalt. mot mellanliggande ytan och parallellt', 'med detonationens riktning, är vägmönstertypen av förbandszonen sam-', '5', 'mansatt av periodiskt anordnade, diskreta omräden av solidifierad', 'smälta mellan omräden av direktförband metall-till-metall. Detta be-', 'tyder att det i förbandszonen finnes en mellanliggande yta, nämligen', 'metall-till-metall, inom de ytor där bindningen är av typen direkt', 'metall-till-metall, och tva mellanliggande ytor, nämligen metall-', '10', '-smälta och smälta-metall, där fickor eller omräden av smälta finnes.', 'Oberoende av typen av bindningszon finnes det väsentligen icke nãgon', 'diffusion tvärsöver den mellanliggande ytan vid bindningszonen i den', 'bundna produkten. Oberoende av de metaller som bindes ger bindningen', 'av typen smält skikt en produkt med hög skjuvhallfasthet; och i me-', '15', 'tallsystem som bildar böjliga legeringar ger denna typ en produkt', 'som ocksã kan extensivt bearbetas. Da sköra legeringar eller bland-', 'metaller framställes, bör emellertid en bindning med smält skikt vara', 'synnerligen tunn, (t ex mindre än 10 /um och lämpligen mindre än 1', '/um) om produkten skall vara sã bearbetbar som vid bearbetningsbehand-', '20', 'lingen erfordras, och även dã bör beklädnings- eller primärmetall-', 'skiktet vara relativt tunnt, t ex mindre än cirka 3,2 mm. Som regel', 'föredrages därför en högre grad av direkt metall-till-metall-bind-', 'ning med frän varandra isolerade omrâden av smälta i metallsystem,', 'vilka bildar sköra legeringar eller sköra blandmetallföreningar. Detta', '25', 'är ett skäl varför den vâgformiga bindningszonen, i vilken huvuddelen', 'av bindningen bestär av en bindning av typen direkt metall-till-metall', 'föredrages. Den vâgformiga bindningszonen föredrages ocksã vanligen', 'framför den väsentligen raka bindningen pã grund av den större ge-', 'mensamma ytan som med den vâgformiga zonen erhälles.', '30', 'Den amerikanska patentskriften', '(patentansökan 503 261) be-', 'skriver en förbättrad metod för utförande av förfarandena enligt de', 'amerikanska patentskrifterna 3 137 937 och 3 264 731 för erhällande', 'av beklädda produkter med en minsta mängd av solidifierad metall i', 'bindningszonen, med därav följande förbättrad hallfasthet och böjlig-', '35', 'het. Enligt detta explosisionsbindningsförfarande placeras metall-', 'skikten först âtskiljda frân varandra i en vinkel som är mindre än', '10° och lämpligen cirka 1°, och bringas därefter att fortlöpande', 'kollidera med varandra i en viss impaktvinkel och med en hastighet', 'som är mindre än den med vilken stora mängder av solidifierad smälta', '40', 'erhälles vid den gemensanma ytan, varpa impaktvinklar pã upp till', '20° och kollisionshastigheter pã cirka 1400-2500 m/sek är exempel.']"
3,"[""3'"", 'De sãlunda erhâllna produkterna, innefattande sãdana i vilka alumi-', 'nium är bundet vid stal, är bundna över atminstone 90 To av varje', 'gemensam yta och har lag halt av smälta. Man har emellertid funnit,', 'att det tekniskt viktiga systemet aluminium-stil är i tvã avseenden', '5', 'olika andra- kombinationer av andra olika metaller. För det första i', 'den vanliga situationen da aluminium drives in i stalskiktet ökas', 'icke vid minskad kollisionshastighet inom det som exempel angivna', 'omrâdet pa cirka 2500-1400 m/sek. direkt aluminium-till-stãl bindningen', 'vid impaktvinklar pã upp till cirka 20°. För det andra, kan den före-', '10', 'dragna bindningen av vâgig typ, vari varje mellanliggande smälta är', 'isolerad mellan ytor an direkt metall-till-metall bindning, icke', 'erhâllas mellan aluminium och stâl vid kollisionshastigheter under', 'cirka 2500 m/sek, da aluminium bringas att kollidera med stal vid', 'sãdana impaktvinklar.', '15', 'Aluminiumstal inklädnader haller pa att fà ökad teknisk betydelse', 'för användning som övergängsfogar i strukturella och elektriska sy-', 'stem. Strukturella övergängsfogar av aluminium/stal t ex för marint', 'och luftfartsbruk, bör ha hög draghällfasthet och en höggradig böjlig-', 'het. I elektriska överföringsfogar är det önskvärt med den högsta', '20', 'möjliga ledningsförmäga över aluminium/stâlbindningen. Da aluminium', 'och stâl bildar de blandmetallsammansättningar som är sköra och er-', 'bjuder väsentligen mera motstand mot genomgang av elektricitet än', 'direkt aluminium-till-stã bindning, inses lätt att det finnes behov', 'för aluminium/stâl inklädnader, i vilka bindningen icke endast har', '25', 'en lag halt av smälta, utan ocksã en hög procenthalt av direkt alu-', 'minium-till-stãl bindning', 'Föreliggande uppfinning ger en förbättring av aluminium/stãl sam-', 'mansättningar i vilka atminstone ett skikt av aluminium, vilkets', 'brotthallfasthet före bindningen är upp till cirka 1200 kp/cm² och', '30', 'ett skikt av stal med en brotthâllfasthet i normaliserat tillständ', '2', 'pa upp till cirka 4220 kp/cm är sammanbundna över atminstone 90 %', 'av sin gemensamma yta genom en väsentligen diffusionsfri metallurgisk', 'bindning. Förbättringen ligger i den metallurgiska bindningen och be-', 'star av en vâgformig bindning som är âtminstone cirka 70 % direkt', '35', 'aluminium-till-stãl bindning, varvid aterstoden är periodiskt anord-', 'nade, diskreta omräden av solidifierad smälta som är separerade frân', 'varandra genom den nämnda direkta bindningen.', 'Med ""väsentligen diffusionsfri"" avses att den gemensamma ytan och', 'närliggande omräden i det bundna tillständet icke har gradientkarak-', '40', 'teristiksammansättningen hos diffusionsbundna produkter. Komponenterna', 'i', 'bundet tillstand uppvisar lämpligen icke nâgon diffusion över nãgon', 'pas']"
4,"['4', 'gemensam yta vid undersökning med ett elektronprov och har vid sek-', 'tioneringsteknik en 0,2 /um gräns för upplösning.', 'Den ""solidifierade smältan"" är en blandning av grundmetallerna,', 'nämligen metallerna i aluminium- och stalskikten, och blandmetall-', '5', 'sammansättningar av dessa. Denna blandnings komposition är väsentligen', 'jämn, dvs den har en väsentligen homogen komposition genom varje ficka', 'av smälta.', 'Enligt föreliggande uppfinning erhalles ocksã ett förbättrat ex-', 'llosions-bindningsförfarande för framställning av dessa nya produk-', '10', 'ter. Förbättringen innefattar speciellt astadkommande av en fortlö-', 'pande kollision av atminstone ett aluminiumskikt, vars brotthâllfast-', '2', 'het är upp till cirka 1200 kp/cm med ett skikt av stâl vars brott-', 'hallfasthet i normaliserat tillstand är upp till ciria 4220 kp/cm²,', 'vid en kollisionshastighet pa cirka 2500-3400 m/sek och en impakt-', '15', 'vinkel pã cirka 14-25°, varvid de motsatta ytorna av dessa skikt', 'star i en vinkel pã mindre än 5° före sprängmedlets detonation.', 'Kollisionshastigheten är den hastighet med vilken kollisionslinjen', 'eller -omrädet rör sig längs de stäl- och aluminiumskikt som skall', 'bindas. Impaktvinkeln är vinkeln mellan stâl- och aluminiumskikten', '20', 'vid kollisionen.', 'Uttrycket ""aluminium"" sâsom det här användes med avseende pã det', 'metallskikt som är direkt bundet vid stalskiktet avser rent aluminium', 'och även aluminiumlegeringar som innehäller atminstone 85 viktprocent', 'aluminium.', '25', 'Om icke annat säges, avser uttrycket ""stäl"" sãsom, det här användes', 'kolstäl och laglegeringsstãl, dvs legeringsstal som innehäller mindre', 'än cirka 5 viktprocent legeringselement.', 'I de bifogade ritningarna som visar specifika utföringsformer av', 'föreliggande uppfinning är', '30', 'Fig 1 ett diagram över % av direkt metall-till-metallbinding i den', 'gemensamma ytan relativt kollisionshastigheten för en typisk aluminium/', 'stâl inklädning enligt föreliggande uppfinning, och', 'Fig 2 och 3 är mikrofotografier med tva olika förstoringar av en', 'typisk vâgig bindningszon som erhillits i aluminium/stäl inklädnader', '35', 'som framställts enligt föreliggande uppfinning.', 'Enligt föreliggande förfarande bindes ett aluminiumskikt med en', 'brotthâllfasthet pa cirka 1200 kpAcm metallurgiskt vid ett stalskikt,', '2', 'vars brott/ normaliserat tillstând ür upp till 4220 lop/cm 2 genom att', 'thâllfasthet', 'aluminiumskiktet explosivt drives mot stalskiktet si att aluminium-', '40', 'och stilsikten bringas att fortlöpande kollidera med en hastighet av', 'cirka 2500-3400 m/sek och vid en stötvinkel pã cirka 14-25°. Utförandet']"
5,"['5', 'av explosionsbindningsförfarandet inom detta speciella omrâde med', 'den specifierade stötvinkeln och med de bestämda typerna av aluminium', 'och stâl ger âtminstone 90 % bindning vid en väsentligen diffusions- -', 'fri vâgig bindningszon, vari atminstone omkring 70 % av bindningen', '5', 'är av typen gemensam metall-till-metall, dvs atminstone 70 % av', 'bindningsytan är en gemensam metall-till-metallyta i motsats till', 'netall-till-mellanliggande ytor av solidifierad smälta. Pã grund av', 'den höga procenten av direkt aluminium-till-stãl bindning visar pro-', 'dukterna enligt föreliggande uppfinning en böjlig typ av bâde skjuv-', '10', 'och dragbrott, och högt motständ mot chocklast, vilket framgar därav,', 'att de icke kan separeras vid den gemensamma ytan med en mejsel. Dessa', 'produkter kan därför bearbetas extensivt utan brott vid bindnings-', 'zonen.', 'Sättet pa vilket bindningens natur varierar med kollisionshastig-', '15', 'heten i explosionsinklädnader av aluminium/stâl förstas lättare av', 'fig 1. Diagrammet i fig 1 är ett exempel pã de resultat som erhâlles', 'da ett 12,7 mm tjockt skikt av 1100 F aluminium explosivt paföres ett', '3,81 mm tjockt skikt av AISI-SAE-1008 stal, varvid metallskikten', 'först bringats väsentligen parallellt med varandra och med ett sâdant', '20', 'avstand mellan dem och prängämnesladdningen att en stötvinke] med', 'konstant tillstand pã cirka 18-20° erhâlles mellan de tva skikten', 'under bidningen. I fig 1 visas diagrammet draget mellan de punkter', 'som erhällits genom inritning av kollisionshastigheten, dvs är spräng-', 'ämnets detonationshastighet, da metallsikten i början är väsentligen', '25', 'parallella, som abscissa och procent-talet för direkt metall-till-me-', 'tall bindning som erhällits som ordinata. Just vid cirka 2500 m/sek.', 'finnes det en skarp stigning i procent-talet för metall-till-metall-', 'bindningen, som är förbunden med en omvandling fran en väsentligen', 'rak eller oregelbunden bindningszon till ett distinkt vägigt mönster.', '30', 'En bindningszon som karakteristiskt erhälles vid cirka denna hastig-', 'het visas i fig 2, som är en tvärsnittsbild (6,6x) vinkelrätt mot', 'ytorna av den inklädda sammansättningen och parallell med detonationens', 'rörelseriktning, fran höger till vänster. Fig 2A är en förstoring av', 'den inrutade ytan fig 2. Den gemensamma ytan är den kontinuerliga', '35', 'vágiga linjen mellán aluminiumskiktet (överdelen) och stalskiktet', '(botten). Sãsom det bäst framgar av fig 2A, passerar en normal som', 'drages genom de flesta punkter pã den gemensamma ytan endast genom', 'aluminium och stal, dvs bindningen är metall-till-metall. Vid nagra', 'punkter passerar normalerna genom aluminium, solidifierad smälta och', '40', 'stal. Här gar bindningen genom skiktet av smälta. Ett omrade av so-', 'lidifierad smälta är helt inkapslat av det överskjutande stalskiktet']"
6,"['6', 'och finnes icke i den gemensamma ytan. Procentvärdet för `metall-till-', '-metall bindningen som här angives här erhällits genom mätning av den', 'totala längden av den kontinuerliga vágiga gemensamma ytan, och läng-', 'den av de sma sektionerna av den gemensamma ytan som är gemensamma', '5', 'ytor av aluminium/smälta. Skillnaden mellan den totala längden av', 'den vágiga gemensamma ytan och summan av dessa sektionslängder, di-', ""viderad' med hela längden av den gemensamma ytan ger procenttalet för"", 'metall-till-metall bindningen.', 'Den minsta kollisionshastigheten för vägbildningen ökar nãgot dã', '10', 'stötvinkeln minskar, dvs den prickade omvandlingslinjen i fig 1 flyt-', 'tar mot höger da stötvinkeln minskas till mindre än 18-20°. Minsta', 'hastigheten för vägbildningen ökar emellertid väsentligen linjärt fran', 'cirka 2500 till cirka 2900 m/sek da stötvinkeln minskas frän cirka', '20° till cirka 14°. Oberoende av vilken stötvinkel som väljes, bör', '15.', 'kollisionshastigheten som användes vara tillräcklig för astadkommande', 'av vagbildning.', 'Vid kollisionshastigheter nära minimum för vagbildning är mängden', 'smälta vid den gemensamma ytan vid ett minium och föreliggande metall-', '-till-metall bindning vid ett maximum. Vid dessa hastigheter är om-', '20', 'râden med smälta nästan helt inkapslade i stalskiktet av de över-', 'lappande vâgorna. Under vissa omständigheter är inkapslingen full-', 'ständig, och det behöver icke finnas nãgon smälta vid den gemensamma', 'ytan, smältan kan t ex observeras vid 1000 x förstoring. Dã kolli-', 'sionshastigheten ökar, ökar mängden smälta vid den gemensamma ytan', '25', 'tills en hastighet nãs, nämligen cirka 3400 m/sek, vid vilken procent-', 'värdet för metall-till-metall bindningen icke längre överskrider', 'cirka 70 % sãsom i fig 1 visas. Denna maximihastighet förblir ungefär', 'samma, ehuru minimihastigheten för vägbildningen kan vara högre än', 'cirka 2500 m/sek, da hastigheten för bildning av smälta vid denna', '30', 'minsta hastighet ökar samtidigt med ökande kollisionshastighet.', 'Kollisionshastighetsomrâdet pã cirka 2500-3400 m/sek användes', 'för aluminium/stãl-system enligt föreliggande uppfinning da det ger', 'en hög procent av direkt aluminium-till-stã bindning. Detta ger den', 'bästa bindningsböfligheten. Da direkta aluminium-till-stãl bindning', '35', 'icke har nãgot mätbart elektriskt motstand, är den ocksã viktig, dã', 'inklädda sammansättningar skall användas i elektriska system, t ex', 'som onvandlingsfogar.', 'Oberoende av om hâll.asthet eller ledningsförmäga är den primura', 'fordringen, är bindningar som innehäller atminstone cirka 90 to di-', '40', 'rekt luminium-till-stäl-bindning mest önskvärda, och pâ grund härav', 'kommer kollisionshastigheten  att lämpligen icke vara mycket högre']"
7,"['335661', 'än omvandlingshastigheten för vägbildningen. Dã denna omvandlings-', 'hastighet t ex är cirka 2500 m/sek kommer kollisionshastigheten att', 'lämpligen icke överstiga cirka 2900 m/sek. För säkerställande av vãg-', 'bildningen bör sprängämnet lämpligen väljas sã, att den beräknade', '5', 'kollisionshastigheten är âtminstone cirka 100 m/sek högre än denna', 'omvandlingshastighet, varigenom den lämpliga minsta hastighet blir', 'âtminstone cirka 2600 m/sek.', 'Inom det kollisionshastighetsomrâde som ovan angivits bör alu-', 'minium- och stälskikten kollidera under en tillräckligt stor stöt-', '10', 'vinkel för framkallande av vagbildning, men icke mindre än cirka 14°.', 'Under detta värde är det svârt att erhâlla vagbildning oberoende av', 'den kollisionshastighet som användes. För en given tjocklek av alu-', 'miniumskiktet ökar den erhâllna stötvinkeln med ökad sprängämnesbe-', 'lastning, och ökar med ökande ursprungligt avstand eller vinkel till', '15', 'ett maximum. Uttryckt pã annat sätt: stötvinkeln ökar med hastigheten', 'för aluminiumförskjutningen och när ett maximum med avständet mellan', 'skikten. Den största stötvinkel som kommer att användas bestämmes del-', 'vis av den önskade storleken pã vagorna, varvid vagstorleken ökar med', 'ökande stötvinkel. Den största stötvinkel som bör användas är därför', '20 den vinkel ovanför vilkens gradtal de bildade vágornas amplitud är', 'större än önskat. Da vagstorleken ocksã ökar med ökande kollisions-', 'hastighet inom det kollisionshastighetsomrào som enligt föreliggande', 'förfarande användes, för en bestämd väglängd, bör den högsta stöt-', 'vinkel som användes, dessutom minskas med ökande kollisionshastighet.', '25 Stötvinkeln bör i varje fall icke vara större än cirka 25°, dã större', 'vinklar ofta förorsakar tydlig kanteffekt och oregelbundet bindnings-', 'mönster, samt har benägenhet att ge smältomraden med tillräcklig volym', 'för astadkommande av väsentligen skadlig effekt pã bindningsstyrkan,', 'ofta pã grund av solidifiering (hâlrum) som förorsakas av smältans', '30 krympning vid avkylning. Bästa resultat erhilles da stötvinkeln vid', 'fast tillstand är cirka 14-20°. Stötvinklarna kan mätas fran foto-', 'grafiska bildserier med användning av en teknik med reflekterad git-', 'terförskjutning. En sádan teknik beskrives av W.A. Allen och G.L.', 'McCray i Rewiew of Scientific Instruments, vol 24, sid 165-171', '35 (1953).', 'För erhällande av stötvinklar som kan användas enligt föreliggande', 'förfarande i det lämpliga parallella utförandet, användes vanligen en', 'sprängämnesladdning vägande cirka 0,2-3 gänger vikten av det eller de', 'skikt som skall drivas, medan avstand pa cirka 1-6 Ganger tjockleken', '40 av det eller de skikt som skall drivas användes. Vikten av spräng-', 'ämnesladdningen är vikten per ytenhet av sprängämnet, oräknat varje']"
8,"['8', 'icke explosiv beständsdel som kan förefinnas i en viss sprängämnes-', 'komposition.', 'Aluminium kan paföras en sida av ett stälskikt eller bâda sidorna.', 'Tvã yttre aluminiumskikt kan paföras pã stâlet i tva steg, eller kan', '5', 'de drivas samtidigt mot stälskiktet. Varje aluminiumskikt som skall', 'direkt bindas vid stalskiktet är rent aluminium eller en aluminium-', 'legering som innehäller atminstone 85 viktprocent aluminium, och har', 'en brotthallfasthet, mätt före bindningen, dvs dã aluminiumskiktet är', 'färdigt för bindning, som icke överskrider 1200 kp/cm². Da en alumi-', '10', 'niumlegering användes är typen av legeringselement emellertid icke', 'kritisk, varvid aluminium som innehäller mindre än 2,1 viktprocent', 'magnesium och kisel föredrages. Aluminiumskiktet eller skikten som', 'bindes vid stâl enligt föreliggande förfarande kan vara i fullt eller', 'delvis avhärdat eller härdat tillstand, varvid det väsentliga är brott-', '15', 'hällfastheten just före bindningen. Exempel pã aluminium är sãdan med', 'beteckningarna 1100 F, 3003-0, 5005-0, 5457-0 och 6061-0. (Aluminium', 'Association numbers and temper designations). Efter aluminiets bind-', 'ning, dvs i bundet tillstand kommer dess brotthällfasthet att vara', 'väsentligen högre än före bindningen, främst pã grund av väsentlig', '20', 'hârdning vid och nära bindningszonen. Ofta och speciellt dã aluminiet', 'är atminstone 6,4 mm tjockt, kommer &tminstone aluminiumskiktets yttre', 'yta att ha en brotthallfasthet pã cirka 1200 kP/cm² eller mindre.', 'Denna brotthällfasthet kan lätt beräknas frän mätningar av Brinell', 'hardhet som tagits pã aluminiets yttre yta.', '25', 'Stalskiktets brotthallfasthet mätt da skiktet är i sitt normali-', '2', 'serade tillständ före bindningen, överskrider icke cirka 4220 kp/cm"".', 'Detta skikt är av kolstâl eller läglegeringsstäl, som innehâller mindre', 'än cirka 5 viktprocent legeringselement. Typen av legeringselement', 'är oväsentlic, den enda fordringen är att mängden legeringselement', '30', 'och brotthällfastheten hos stâlskiktet ligger inom de angivna grün-', 'serna. Stalskiktet kan vara i normaliserat eller härdat tillständ vid', 'tiden för inklädningen, men är lämpligen normaliserat. Lämpliga stâl', 'innefattar sãdana som har ASTM-beteckningarna A-212-B (A-516-GR55-70)', 'och A 204, och sãdana som har SAE-beteckningarna 1003 och 4620. Den', '35', 'verkliga brotthâllfastheten hos det bundna stilskiktet är väsentligen', 'samma som utgängsskiktets, dã bearbetningshärdningen är liten och in-', 'skränker sig till ett mycket smalt skikt av stal, t ex cirka 1,27-', '1,78 mm tjock: vid bindnLagszonen. Produktens stâlskikt kommer att i', 'normaliserat tillständ ha en brotthällfasthet pã cirka 4220 kF/cm', '40', 'För tvâskiktsprodukter är aluminium- och stälskikten som skall', 'bindas vanligen atminstone cirka 3,2 mm tjocka; bindning av tunnare']"
9,"['335661', 'skikt är möjlig men efterfragas icke ofta. För de flesta användningar', 'är stalskiktet &tminstone cirka 12,7 mm tjockt. Ur praktisk synpunkt', 'är ocksã tjockleken av aluminiumskiktet (dvs det drivna skiktet)', 'icke större än cirka 5,1 cm.', '5', 'Da utgängsskikten av aluminium och stâl icke uppfyller de nämnda', 'kraven i avseende pã brotthallfasthet och komposition, är det svârt', 'att erhälla en vâgig bindning, och om den erhälles, kommer den att', 'innehalla för mycket solidifierad smälta. Den exakta orsaken till', 'detta är icke känd, men man antar, att metallens motstand mot vâg-', '10', 'bildningen förorsakar utveckling av värme och därigenom en ökning', 'av smälta da inskränkningarna i avseende pã mängden legeringselement', 'och brotthâllfasthet överskrides. Det är tydligt att dess inskränk-', 'ningar hänför sig till stâl- och aluminiumskikt som skall bindas', 'direkt vid varandra, och icke till skikt av olika metaller, som kan', '15', 'bindas vid yttre ytan av aluminium och/eller stalskikt. En sida av', 'stalskiktet kan t ex bindas vid ett aluminiumskikt som uppfyller de', 'nämnda kraven, medan den andra sidan av stälskiktet bindes vid ett', 'skikt av höglegeringsstãl, t ex rostfritt stâl; eller, en sida', 'av', 'aluminiumskiktet kan bindas vid ett skikt av kol- eller läglegerings-', '20', 'stal, sãsom tidigare beskrivits, och den andra sidan vid ett skikt', 'av en aluminiumlegering, vilkens brotthâllfasthet är större än cirka', '1200 kp/cm². J. sãdana fall kan de tre metallskikten sammanbindas', 'samtidigt, eller ett av de tvã kan bindas först och det tredje bin-', 'das därefter vid den rätta ytan av tvaskiktssammansättningen', '25', 'Ett ytterligare villkor för bildning av vâgig bindning enligt', 'föreliggande förfarande är att varje aluminiumskikt, som skall bin-', 'das direkt vid stalskiktet kan bringas att fortlöpande kollidera med', 'stalskiktet. Med andra ord, varje sãdant aluminiumskikt drives ex-', 'plosivt som sãdant eller indirekt med hjälp av ett explosivt drivet', '30', 'metallskikt. Detta förfarande ger icke endast de ovan beskrivna vágiga', 'bindningar med lag halt av smälta vid de kollisionshastigheter som', 'användes enligt föreliggande förfarande, utom erfordrar ocksà vanli-', 'gen den minsta mängd av sprängämne för erhällande av lämpliga bind-', 'ningsvillkor, dã aluminiumskiktets massa per ytenhet vanligen är vä-', '35', 'sentligen mindre än den hos stalskiktet. Ehuru stilskiktet eventuellt', 'kan drivas, är det mera praktiskt att stödja stalskiktet och explo-', 'sivt driva endast aluminiumskiktet eller skikten.', 'Metallskikten kan först bringas parallellt med och âtskiljda fran', 'varandra, eller i en mindre än 5° vinkel. Större vinklar kan användas,', '40', 'men ge vanligen ojämn bindning da skikt av teknisk storlek inklädes.', 'Den väsentligen parallella uppställningen föredrages emellertid pã']"
10,"['10', 'grund av lättare bearbetbarhet och större j ämnhet hos den erhâllna', 'bindningszonen. Ett skikt av detonerande sprängämne bringas vid me-', 'tallskiktet eller skikten som skall drivas, och initieras, sã att', 'detonationen fortskrider väsentligen parallellt med ytan av det', '5', 'närliggande metallskiktet. Om metallskikten ursprungligen är paralella,', 'är kollisionshastigheten lika stor som detoneringshastigheten, och', 'ett sprängämne som har en detoneringshastighet av cirka 2500 - 3400', 'm/sek användes. Da vinkelinklädningsteknik användes, kan sprängämnen', 'med högre detoneringshastighet användas, da den erfordrade kollisions-', '10', 'hastigheten kan erhâllas med sprängämnen med högre detoneringshastig-', 'het genom att utgängsvinkeln och/eller sprängämnesladdningen ökas.', 'Vanliga sprängämneskompositioner som enligt föreliggande förfa-', 'rande användes, beskrives i den nämnda amerikanska patentskriften', '(p. ansökan 503 261), till vilken här hänvisas. Det är lämpligt', '15', 'att sprängämnesskiktet hänger över varje kant ay det närliggande', 'metallskiktet över ett avstand pã atminstone 2 och vanligen 4,5 ganger', 'tjockleken av metallskiktet. Detta förfarande eliminerar väsentligen', 'icke-bindning vid kanterna och ger därmed maximal grad av bindning.', 'Det är speciellt lämpligt att kantförlängsninsstycken användes över', '20', 'samtliga kanter av aluminiumskiktet för minskning av uttunning vid', 'dess kanter. Dessa förlängninesstycken bör ha samma densitet och', 'tjocklek som aluminiumskiktet och ha ungefär samma bredd som avstan-', 'det med vilket sprängämnet hänger över det skikt som skall drivas.', 'Tekniken som användes för initiering av sprängämnesskiktet eller', '25', 'skikten, stödjande av inklädningssammansättningen, beredning av me-', 'tallytorna och i övrigt âstadkommande av bindningsprocessen beskri-', 'ves i de nämnda patentskrifterna, till vilkas beskrivningar här hän-', 'visas. Effektiva sätt för uprätthällande av anläggningsavständ be-', 'skrives i de amerikanska patentskrifterna 3 205574 och', '30', '(p. ansökningen 587 299). Sâsom i de förfaranden som i dessa patent-', 'skrifter beskrives, kan föreliggande förfarande ocksã användas för', 'bindning av aluminium- och stalskikt av varje form, t ex plana eller', 'rörformiga, och sãlunda erhâllas aluminium/stälklädda produkter i', 'sâdan form som plattor, plâtar, remsor, stavar, stänger, rör mm.', '35', 'Inklädda sammansättningar, i vilka skikten har en gemensam yta pa', 'atminstone cirka 0,09 m 2 och speciellt plana produkter, är tekniskt', 'lämpliga.', 'luminium/stãlsammansättningarna enligt föreliggande uppfinning', 'är lämpliga som övergängsfogar i strukturella och elektriska system,', '40', 'i vilka aluminiumkomponenter skall fogas till stalkomponenter. Använd-', 'ning av sãdana fogar övervinner problemet med bildningen av sköra']"
