PageNo,Text
1,"['UTLÄGGNINGSSKRIFT nr', '366 404', 'Int CI', 'G 03 g 15/22', 'P.ans. nr', '13052/69', 'Inkom den', '23 IX 1969', 'Giltighetsdag den', '23 IX 1969', 'PATENT- OCH', 'Ans. allmänt tillgänglig den', '26 III 1970', 'REGISTRERINGSVERKET', 'Ans. utlagd och utläggnings-', 'skriften publicerad den', '22 IV 1974', 'Prioritet styrkt frän den 25 IX 1968', '(FR, 167 497)', 'SOCIÉTÉ ANONYME ""LA CELLOPHANE"", PARIS, FR', 'Uppfinnare: P Vassitch, Paris', 'Ombud: N Larfeldt', 'Elektrofotografisk reproduktionsapparat', 'Föreliggande uppfinning avser elektrofotografiska reproduktions -', 'apparater, speciellt sãdana apparater, som kontinuerligt astadkom-', 'mer elektrostatisk tryckning och framkallning av reproduktionerna', 'och i övrigt är beskaffade enligt ingressen till patentkravet 1.', '5', 'Vid sãdana apparater anbringas en jämn elektrostatisk laddning', 'pa ett kopiepapper, som är överdraget med ett ljuskänsligt skikt.', 'Originaldokumentets bild projiceras pa kopiepappret och urladdar', 'selektivt dettas yta, sã att det alstras en elektrostatisk, latent', 'bild av originalet. Det pa sã sätt tryckta kopiepappret framkallas', '10', 'medelst en framkallare, bestäende av ett färgpulver med elektro-', 'statiska laddningar av motsatt tecken mot kopiepapprets laddningar.', 'Detta pulver fäster pa den latenta bilden med densiteter, som är', 'proportionella mot de laddningar, vilka definierar bilden och re-', 'producerar pa sã sätt originalet.', '15', 'Det finns ett stort antal maskiner av denna typ. Föreliggande', 'uppfinning avser speciellt sãdana maskiner, i vilka originalet, som', 'förflyttas framför en ljuskälla, med hjälp av ett optiskt system', 'äterger bilden pa ett kopiepapper, som frammatas med lämplig hastig-', 'het efter att dessförinnan ha genomgatt en laddningsenhet för att', '20', 'laddas medelst koronaeffekt, Beroende pa det optiska systemets be-', 'skaffenhet och anordning och även beroende pã kopiepapprets och']"
2,"['2', 'originalets relativa matningshastigheter, kan man âstadkomma bilder', 'i samma skala som originalet, eller förstoringar eller förminskningar', 'av detta.', 'I apparaterna enligt uppfinningen genomgar kopiepappret, som är', '5', 'bärare av en elektrostatisk, latent bild, under fortgaende frammat-', 'ningsrörelse en framkallningsenhet och en fixerings- eller torkenhet.', 'Framkallningen kan i vissa apparater utföras medelst en pulverfram-', 'kallare och i andra apparater medelst en vätskeformig framkallare. I', 'första fallet genomgar kopiepappret, sedan det framkallats, en anord-', '10', 'ning för fixering medelst värme; i andra fallet en torkanordning.', 'I maskiner av denna typ, där kopiepapprets frammatning igäng-', 'sättes och regleras av originalets frammatning, visar det sig vara', 'svärt att med säkerhet astadkomma en noggrant samtidig frammatning', 'av kopiepappret med det exakt önskade hastighetsförhallandet.', '15', 'En annan svarighet bestär i att undvika att kopiepappret vid', 'utgängen fran koronaladdningsenheten utsättes för förluster av elektro-', 'statisk laddning vid beröringen med matningsorganen, vidare att und-', 'vika att hastighetsskillnader uppstar mellan dessa organ, vilka skill-', 'nader kan medföra alstring av suddiga eller dubbla bilder, samt slut-', '20', 'ligen att undvika alla risker för matningsstopp pã detta ställe.', 'En annan svärighet vid denna typ av kompakta och komplicerade', 'apparater är att âstadkomma ett arrangemang, som gör det lätt att', 'demontera apparatens olika element sã att deras översyn och utbyte', 'underlättas.', '25', 'Ytterligare en annan svärighet är att göra regleringen av bildens', 'inställning pa kopiepappret bâde exakt och regelbunden, vilket är', 'ett oeftergivligt villkor för att fa förstklassiga bilder.', 'Föreliggande uppfinning, som avser apparater av den nämnda typen,', 'har till ändamäl att eliminera dessa svärigheter genom att apparaten', '30', 'främst erhällit de i patentkravet 1 angivna kännetecknen. Apparatens', 'närmare beskaffenhet framgar av följande beskrivning med hänvisning', 'till bifogade ritningar, várvid fig. 1 schematiskt visar en vertikal-', 'sektion av en elektrofotografisk reproduktionsapparat enligt en', 'ut-', 'föringsform av uppfinningen; fig. 2 och 3 visar schematiskt en fram-', '35', 'matningsanordning för kopiepappren enligt uppfinningen, varvid fig.', '2 visar anordningen i laddningsläge och fig. 3 i arbetsläge; fig. 4', 'visar schematiskt en anordning för inställning av det optiska syste-', 'mets spegel enligt en utföringsform av uppfinningen; fig. 5 och', '6', 'visar en anordning enligt uppfinningen för automatisk reproduktion', '40', 'i ett givet antal kopior, varvid fig. 5 visar anordningen i läge för', 'förnyade reproduktioner och fig. 6 i läget för âterställande av']"
3,"['366404', 'originalet.', 'I apparaterna enligt uppfinningen ätergives originalets', 'bild pá kopiepappret enligt känt förfarande, genom att pá kopie-', 'pappret alstras den bild, som överförts medelst det optiska sy-', '5', 'stemet, medan originalet och kopiepappret bâda befinner sig un-', 'der förflyttning; det fält pã originalet, som i ett givet ögon-', 'blick befinner sig inom det optiska systemets fält, reproduceras', 'pà motsvarande omrâde av kopiepappret, varvid de tvâ förflyttning-', 'arna', 'sker med de hastighetsförhállande, som motsvarar den av det', '10', 'optiska systemet bestämda skalan.', 'En av förbättringarna, som föreliggande uppfinning avser att', 'âstadkomma, ligger i ett synnerligen ändamälsenligt arrangemang av', 'de organ, som ombesörjer den samtidiga frammatningen av originalet', 'och kopiepappret, sã att det varken uppstar suddiga bilder eller', '15', 'dubbelbilder.', 'Enligt uppfinningen frammatas kopiepappret först till en be-', 'stämd punkt och sättes i rörelse exakt i det ögonblick, dã origina-', 'let befinner sig i en sãdan punkt, att dess framkant nâtt fram till', 'det optiska systemets fält i det ögonblick, dã framkanten av kopie-', '20', 'pappret, vilket förflyttar sig med avsedd hastighet, nätt fram till', 'den punkt, där det mottager de optiska strâlarna, som utsändes av', 'originalets framkant.', 'Detta resultat, vilket är ett av ändamälen med föreliggande', 'uppfinning, astadkommes genom en kombination av organ, som genom', '25', 'ömsesidig samverkan säkerställer en god uppriktning av kopiepappers-', 'buntens framkant, frammatning ett och ett av kopiepappret, stoppan-', 'det av det i användning varande kopiepappret i dess utgängsläge', 'förnyad igängsättning i rätt ögonblick för att säkerställa dess', 'frammatning samtidigt med originalets frammatning, korrekt införande', '30', 'av kopiepappret i organet för laddning medelst koronaeffekt, med', 'borttagande av statisk elektricitet, varmed det kan vara laddat pà', 'baksidan, samt slutligen inmatning av ett nytt kopiepapper till dess', 'utgängsläge utan att detta överlappas av föregäende kopiepapper.', 'Kombinationen av de använda organen beskrives i det följande', '35', 'med hänvisning till bifogade fig. 2 och 3, som illustrerar en möjlig', 'utföringsform av uppfinningen, varvid fig. 2 schematiskt visar en', 'sãdan anordning i laddningsläge och fig. 3 visar samma anordning i', 'arbetsläge som inställes genom nedförande av manöverstängen 64, som', 'paverkas exempelvis för hand, genom stängning av apparatens lock', '40', 'eller pâ annat sätt.', 'Pappersbunten 66 är anbragt i ett magasin, som utgöres av en', 'botten 68 och sidostycken 69. Detta magasin bestär av tvã parallella']"
4,"['4', 'halvor, som man kan närma till varandra eller sära för att anpassa', 'magasinets bredd till kopiepapprets format. Bottnen är förlängd', 'medelst en avledningsplät 691, som styr kopiepappret mot drivrul-', 'larna 271 och 272, vilka matar kopiepapper ett i sänder till den', '5', '(icke visade) koronaladdningsanordningen, som är anordnad omedel-', 'bart efter den sistnämnda. Avledningspläten 691 är anordnad med', 'parallella urtag i pappersmatningens riktning, som markeras av', 'pilen. I dessa urtag svänger de parallella armarna 29, som i ladd-', 'ningsläget enligt fig! 2 befinner sig i uppfört läge och bildar ett', '10', 'anslag för att âstadkomma noggrann uppriktning av kopiepapprets', 'framkant vinkelrätt mot matningsriktningen. Mot dessa armars övre', 'ändar bringas, dã armarna befinner sig i sitt övre läge, de tvã', 'hävstängerna 67, som vid 60 är ledbart förbundna med vardera av ma-', 'gasinets 69 sidostycken, till anliggning. Dessa hävstänger uppbär', '15', 'vardera inmatningsarmarna 38, som i arbetsläge anligger mot de främ-', 're hörnen av kopiepappersbunten, vilka de kvarhäller pà plats, var-', 'vid de pá i sig känt sätt verkar sã, att endast ett kopiepapper i', 'sänder inmatas.', 'Pã hävstängerna 67 vilar i, laddningsläge ändarna av axeln 65,', '20', 'tillhörande rullarna 10, som frammatar kopiepappren. Dessa axeländar', 'är fästade pã sidostyckena 274, vilka är vridbara omkring matarrul-', 'lens axel 271. Pã dessa sidostycken är vidare anordnat en axel 61,', 'omkring vilken fritt kan vrida sig en med apparatstommen förbunden', 'metallborste 62 av lätt, elektriskt ledande material, vilken har', '25', 'till uppgift att avlägsna statisk elektricitet frän kopiepappret', 'och styra detta mellan rullarna 271 och 272.', 'När, till följd av lockets tillslutning eller päverkan av', 'annat medel, manöverstängen 64 föres nedät och därvid vrider stycket', '63 omkring sin axel, vilket är stelt förbundet med armarna 29, ästad-', '30', 'kommer dessa armar under sin vridning en nedsänkning av hävstängerna', '67, som anligger mot ändarna av dessa armar, till dess att de stoppas', 'upp genom att inmatningsarmarnia kommit i läge pà främre hörnen av', 'pappersbunten. Förflyttningen nedât av dessa hävstänger âstadkommer', 'även att rullarna 10 förflyttas nedât, vilkas axel anligger mot dessa', '35', 'hävstänger och vars förflyttning nedät stoppas upp, när den bringas', 'till anliggning mot pappersbunten. Axeln 61, som är stelt förbunden', 'med sidostyckena 274, förflyttas nedât samtidigt som rullarna, varvid', 'änden av, borsten 62 förblir i kontakt med avledningspläten 691. För-', 'flyttningen nedät av manöverstängen 64 âstadkommer sãlunda samtidigt', '40', 'undanförande av armarna 29, anbringande pã plats av dels matarrullar-', 'na, dels inmatningsarmarna, dels borsten 62.', 'Axeln 65, pã vilken matarrullarna 10 är anbragt, drives tvängs-']"
5,"['366404', 'styrt frän rullens 271 axel, sã att rullarnas 10 linjära periferi-', 'hastighet blir lägre än matarrullarnas 271, 272, varvid ett frihjul', 'är anbragt däremellan för att förhindra bromsning av kopiepappren,', 'när de befinner sig i ingrepp med rullarna 271, 272.', '5', 'Sedan matarrullarna upphört att anligga mot ett kopiepapper,', 'matar de fram nästa papper frän bunten men med lägre hastighet än', 'det föregãende, varvid ett lämpligt intervall ästadkommes för att', 'förhindra överlappning mellan de tvã pappersbladen.', 'Enligt uppfinningen är rullarnas 271,272 drivaxel, som via', '10', 'en tvängsstyrd kraftöverföring även driver rullarna 10, styrd medelst', 'en exempelvis elektromagnetisk kopplingsanordning, vars urkoppling', 'âstadkommes genom kopiebladets kontakt med mikroströmställaren 52,', 'och vars inkoppling âstadkommes genom originalets kontakt. med mikro-', 'strömställaren 51.', '15', 'I den i fig. 2 schematiskt visade sektionen av en anordning', 'enligt en av de möjliga utföringsformerna av uppfinningen, utlöser', 'originalet, som följer den streckpunkterade banan 1 i pilens rikt-', 'ning, genom kontakt med mikroströmställaren 50, igängsättningen av', 'apparatens drivorgan, däribland rullarna 10, som uttager ett kopie-', '20', 'papper 2 frän magasinet 68. När bladet 2, som följer den streckpunkte-', 'rade banan 4, anländer till och kommer i kontakt med mikroströmstäl-', 'laren 52, âstadkommer detta, att rullarna 10 frânkopplas och bladet', '2 stoppar vid 52.', 'Originalet, som under tiden drives av rullarna 53, fortsätter', '25', 'pa sin bana och âstadkommer genom kontakt med mikroströmställaren 51', 'förnyad inkoppling av rullarna 271, 272 och rullarna 10, som pa nytt', 'matar fram kopiebladet 2, vars framkant lämnar 52 i exakt det ögon-', 'blick, dã framkanten av originalet lämnar 51. Innan bladet 2 lösgöres', 'frän rullarna 10, gripes dess främre parti av rullarna 271 och 272', '30', 'pà samma sätt som originalet drives av rullarna 54 innan det lämnar', 'rullarna 53.', 'Enligt uppfinningen är mikroströmställarna 51 och 52 anbragta', 'i sãdant läge, att vid originalets resp. kopiebladets matningshas-', 'tighet originalets framkant anländer till punkten 55, där den inkom-', '35', 'mer i det optiska systemets fält, exakt i det ögonblick, dã kopie-', 'bladets framkant anländer till punkten 57, dit det optiska systemet', 'riktar strálarna, som utgar frän 55. Originalets resp. kopiebladets', 'matningshastighet är sã avpassade, att den optiska strälen, som ut-', 'sändes frän en given punkt pã originalet, under det att detta för-', '40', 'f lyttar sig utefter banan 55/56, alltid träffar samma punkt pã kopie-', 'bladet, som samtidigt förflyttar sig utefter banan 57/58.', 'Av det ovan sagda framgár, att det, för att âstadkomma en nog-']"
6,"['6', 'grann inriktning av bilden pã kopiebladet och förhindra uppkomst', 'av suddiga partier eller dubbelbilder, är viktigt att fränkopplingen', 'av rullarna 10 verkligen sker, när kopiebladets framkant anländer', 'till 52. Fränkopplingen kan riskeras utebli om kopiebladet, när det', '5', 'anländer till 52, är i kontakt eller nästan i kontakt med föregäende', 'kopieblad. Det är för att eliminera denna nackdel som det är nöd-', 'vändigt att bibringa matarrullarna 271 och 272 en periferihastighet,', 'som är större än rullarnas 10, vars frihjulsanordning förhindrar', 'att de bromsar upp frammatningen av kopiebladet under den tid, dã', '10', 'detta matas fram av rullarna 271 och 272 utan att ännu ha lösgjorts', 'frân rullarna 10.', 'De apparater uppfinningen avser innefattar, som ovan nämnts,', 'ett optiskt system, som pã kopiebladen projicerar en bild av origi-', 'nalet, varvid originalet och kopiebladet vardera frammatas med has-', '15', 'tigheter, som motsvarar apparatens reproduktionsskala.', 'Ett sâdant optiskt system bestär pã känt sätt av en ljuskälla,', 'ett objektiv, som utgör det egentliga optiska systemet, och en spe-', 'gel, som reflekterar bilden mot kopiebladet. Bildernas skärpa och', 'kvalitet beror till mycket stor del pã spegelns rätta läge i förhäl-', '20', 'lande till objektivet och bildalstringsenheten.', ""I apparaterna enligt uppfinningen regleras detta 'läge utomor-"", 'dentligt enkelt medelst en enda ställskruv, som förflyttar spegeln', 'noga parallellt med utgängsläget med en noggrannhet, som kan vara', 'av storleksordningen en bräkdels mm. En sâdan reglering är icke nöd-', '25', 'vändig varje gang apparaten användes utan endast vid dess montering,', 'varvid ställskruven företrädesvis är försedd med lásanordning, som', 'hindrar den frän att ändra sitt inställda läge.', 'Enligt uppfinningen är spegeln monterad pã en icke deformerbar', 'hállare, som glidande noga kan parallellförflyttas utefter tvã icke', '30', 'deformerbara gejder, som är stelt förbundna med objektivhällaren.', 'Objektivhällarens läge pã dessa gejder inställes medelst en skruv,', 'som verkar mot kraften av en fjäder, som ständigt bringar spegel-', 'hällaren till anliggning mot ställskruven.', 'Fig. 4 visar schematiskt en sektion av ett sãdant system,', '35', 'vilken illustrerar en bland flera nöjliga utförings former av upp-', 'finningen.', 'Objektivet o är stelt förbundet med en hâllare 16, som i sin', 'tur är stelt förbunden med apparatens stativ, och uppbär tvã parallel-', 'la stänger 17, pã vilka tvã noga parallellställda muffar 18 glider,', '40', 'vilka sinsemellan är stelt förbundna och stelt förbundna med spegeln', '19, och vilka är tryckbelastade av tvã fjädrar 20. Hällaren 16 inne-', 'fattar i dess del motsatt det parti, som uppbär objektivet, ett uppät']"
7,"['366404', 'bockat parti, försett med ett gängat hâl och en skruv 21, medelst', 'vilken mutterns 18 läge kan inställas, varvid fjädern 20 samman-', 'tryckes mer eller mindre. En läsmutter 22 hindrar skruven 21 och', 'därmed muttern 18 att ändra inställt läge.', '5', 'Andra utföringsformer, speciellt av hãllarna och gejderna,', 'är givetvis möjliga inom uppfinningens ram.', 'De apparater föreliggande uppfinning avser kännetecknas även', 'av att de innefattar en anordning, som automatiskt ästadkommer re-', 'produktion av ett pá förhand bestämt antal kopior, varvid denna', '10', 'anordning innefattar en spärrmekanism, som hindrar ändring av dess', 'inställning under hela den tid, dã originalet befinner sig pà mot-', 'svarande bana, varjämte denna spärrmekanism förhindrar att originalet', 'ev. skadas av en olämplig âtgärd av operatören.', 'Frammatningen av originalet i läge för fortsatt reproduktion', '15', 'bestämmes av den Y-formade vippans 49 svängrörelse. I fig. 1 är den-', 'na vippa illustrerad med streckpunkterade linjer, da den intager', 'läge för fortsatt reproduktion, och med heldragna linjer i dess läge', 'för utlämning av originalet.', 'Styrningen av denna vippa âstadkommes medelst en visaranord-', '20', 'ning, som vrides utefter en graderad skala för att markera antalet', 'önskade reproduktioner; visaranordningens manöverratt pâverkar en', 'kam, som, under slutande av strömmen i en spole, kontinuerligt', 'bringar vippan 49 att svänga fram och äter för att bringa den i läge', 'för förnyad reproduktion. När alla reproduktioner har utförts, äter-', '25', 'tager kammen sitt begynnelseläge, varvid strömmen i spolen brytes', 'och vippan 49 under pâverkan av fjädern âtergär till läget för ut-', 'lämning av originalet.', 'Fig. 5 och 6 illustrerar schematiskt, enligt en utföringsform,', 'verkningssättet av en anordning enligt uppfinningen för automatisk', '30', 'reproduktion av ett givet antal kopior, varvid fig. 5 visar anord-', 'ningen i läge för förnyad reproduktion och fig. 6 läget för utläm-', 'ning av originalet.', 'En icke illustrerad visare kan bringa en kam 70 att vridas', 'runt sin axel, vilken kam är stelt förbunden med ett tandhjul 71,', '35', 'som har lika mánga tänder som det antal förnyade successiva repro-', 'duktioner man önskar att apparaten skall kunna utföra. Dã ratten', 'vrides i pilens riktning, bringas armen 721 att göra ingrepp med', 'motsvarande skâra i tandhjulet. Armen 721 uppbäres av det bockade', 'stycket 72, som är stelt förbundet med en liten hävstäng, vridbar', '40', 'omkring sin axel 77. Kammen 70 verkar i sin tur pã armen 74, som,', 'dã den upphör att göra ingrepp i urtaget 75 i kammen, skjutes bakãt']"
8,"['8', 'och sluter strömmen i mikroströmställaren 78, varvid vippan 49', 'bringas att svänga och intaga läget för förnyad reproduktion.', 'När det i apparaten införda originalet har genomlöpt sin', 'bana, pâverkar det mikroströmställaren 48, varvid strömmen slutes', '5.', 'till spolen 76, som attraherar hävstängen 73, vilket har till ver-', 'kan att armen 721 frigöres frän sitt ingrepp.', 'Tandhjulet och den med detta stelt förbundna kammen tryckes', 'ständigt i pilens riktning medelst en icke visad fjäder. När armen', '721 är frigjord frän sitt ingrepp, vrides tandhjulet i den visade', '10', 'riktningen, men dess vridning begränsas till bredden av en skâra,', 'emedan den andra änden av det bockade stycket 72 uppbär en arm 722,', 'som i sin tur gör ingrepp i en skâra och lâser hjulet i detta läge.', 'När originalet, som följer sin bana och igängsätter en ny', 'reproduktionscykel, förlorar kontakten med mikroströmställaren 48', '15', 'och slutar att verka pá denna, upphör strömmen att genomga spolen', '76, och under-inverkan av en icke visad fjäder gör armen 721, som', 'är stelt förbunden med det bockade stycket 72, ingrepp i nästföljande', 'skâra pã tandhjulet, som, i andra änden av det bockade stycket 72,', 'frigiver armen 722, som drages bakât.', '20', 'När originalet följer sin bana för den sista avsedda reproduk-', 'tionen, möter armen 721 icke längre nâgon skãra utan ett icke tandat', 'parti pà tandhjulet. Detta hjul vrider sig under inverkan av fjäder-', 'kraften till dess att urtaget 75 pà kammen 70 kommer mitt framför', 'armen 74, som, pâverkad av en äder i pilens riktning, intränger i', '25', 'urtaget, varvid strömmen brytes i spolen, som ästadkom vippans 49', 'svängrörelse. Vippan âtertager dã, under inverkan av den fjäder, som', 'belastar vippan, det läge för utlämning av originalet, som markeras', 'med streckpunkterade linjer i fig. 1.', 'Under hela den tid, da tandhjulet 71 hälles i läge av armen', '.30', '722, dvs. en tid under vilken originalet skulle kunna skadas genom', 'en olämplig manöver av vippan 49, är som synes en sãdan manöver', 'omöjlig.', 'För att illustrera uppfinningen beskrives i anslutning till', 'fig. 1 en elektrofotografisk reproduktionsapparat, som utgör en', '35', 'kombination av de ovan beskrivna komponenterna, varvid förutsättes', 'att apparaterna enligt uppfinningen givetvis kan innefatta olika', 'utföringsformer och kombinationer av de använda organen.', 'Apparaten innefattar ett cirkulationsorgan för originalet.', 'Originalet, som införes vid 1 i apparaten följer den bana, som är', '40', 'markerad med streckpunkterade linjer. Det gör först kontakt med', 'mikroströmställaren 50, som igängsätter alla apparatens matnings-', 'organ. Det matas fram utefter sin bana medelst rullar 53 och gör']"
9,"['366404', 'kontakt med mikroströmställaren 51, som âstadkommer frammatning', 'av ett kopieblad 2. Under sin fortsatta frammatning medelst rul-', 'larna 54 inkommer originalets framkant i det optiska systemets', 'fält vid 55 i det ögonblick, da framkanten av kopiebladet inkom-', '5', 'mer i bildalstringsenheten vid 57. Originalet lämnar det optiska', 'systemets fält vid 56 och fortsätter dâ sin bana under inverkan', 'först av rullarna 45, sedan av rullarna 47.', 'Originalet gör under sin förflyttning kontakt med mikroström-', 'ställaren 48, som, da den Y-formade vippan 49 är i läge för förnyad', '10', 'reproduktion, visat medelst streckpunkterade linjer i fig. 1, pa', 'sätt som ovan beskrivits, âstadkommer att den icke illustrerade', 'visaren, som markerar antalet reproduktioner, som skall utföras,', 'undanföres frân en skâra. Originalet styres idetta fall av rullarna', '47 i riktning mot rullarna 53 och igängsätter ett nytt kretslopp.', '15', 'Om vippan 49 befinner sig i det läge, som markerats av full-', 'dragna linjer, har den, antingen man utför bara en enda reproduk-', 'tion eller efter att det avsedda antalet kopior utförts, âtergâtt', 'till begynnelseläget, varvid originalet följer den streckpunkterade', 'banan och mottages i ett avläggningsfack 3.', '20', 'Den nyss beskrivna cirkulationsenheten för originalet utgör', 'ett självständigt aggregat, som man för regleringsändamäl kan pã-', 'verka frän apparatens utsida.', 'Originalet genomgär mellan punkterna 55 och 56 i sin bana fältet', '46 i det optiska systemet, i vilket en reflektor 6 pã originalet', '25', 'samlar strálarna frän en ljuskälla 5.', 'Bilden av originalets fält 46 alstras vid bildalstringsenheten', 'mellan 57 och 58 pa motsvarande fält pá kopiebladet, varvid bilden', 'alstras av det optiska systemet 0 och spegeln 19.', 'Originalet och kopiebladet förflyttas samtidigt pa sâdant sätt,', '30', 'att bilden av en given punkt pà originalet alltid alstras i samma', 'punkt pá kopiebladet.', 'Bunten 66 av kopiepapper är anbragt i ett magasin 68. När', 'apparaten befinner sig i arbetsläge, anligger rullarna 10 mot buntens', 'översta blad, mot vars framkant inmatningsarmarna 38 anligger. Dã', '35', 'originalet gör kontakt med mikroströmställaren 50, varvid apparatens', 'matningsorgan igängsättes, bringas rullarna 10, som uttager det', 'översta bladet, och tack vare inmatningsarmarna endast detta enda', 'blad, att rotera för att vid 2 mata fram kopiebladet pã avlednings-', 'pläten 291 och införa det mellan rullarna 271 och 272, varefter', '40', 'bladet, sedan dessa rullar passerat, gör kontakt med mikrostrümstäl-', 'laren 52, som fränkopplar kopiebladets frammatning och stoppar det', 'i detta läge.']"
10,"['10', 'Dâ originalet ankommer till och gör kontakt med mikrostrom-', 'ställaren 51, tillkopplar denna äter rullarna 271, 272, vilka in-', 'matar kopiebladet först till koronaladdningsenheten 22 och därefter', 'till bildalstringsenheten 57/58, pà sãdant sätt, att kopiebladets', '5', 'framkant uppnär punkten 57 i samma ögonblick som originalets fram-', 'kant uppnär punkten 55, samt sã, att kopiebladets framkant uppnär', 'punkten 58, när originalets framkant uppnär punkten 56.', 'Koronaladdningsenheten och bildalstringsenheten är sinsemellan', 'förbundna till ett enda organ, varigenom man förhindrar varje elek-', '10', 'trostatisk förlust i intervallet och förbättrar reproduktionernas', 'kvalitet. Genom kombinationen av dessa bâda enheter förhindras all', 'risk för matningsfel mellan dem samt olikheter i hastighet, som kan', 'âstadkomma suddiga eller dubbla bilder.', 'Inställningen av det optiska systemet o och spegeln 19 regle-', '15', 'ras vid tillverkningen sã, att bildalstringen sker i önskad skala,', 'minskad, lika stor, eller större skala, av originalet, varvid kopie-', 'bladets hastighet i förhällande till originalets hastighet ocksã', 'vid tillverkningen regleras i beroende av denna skala. Vid en repro-', 'duktionsapparat för skalan 1:1 är dessa bâda hastigheter lika stora', '20', 'och avständet frän punkten 55 till punkten 56 är lika stort som av-', 'ständet frän punkten 57 till punkten 58.', 'Regleringen av bildskärpan utföres medelst en enda mikrometer-', 'skruv, som âstadkommer en parallellförskjutning av spegeln i förhäl-', 'lande till objektivet, varvid spegeln och objektivet för detta ända-', '25', 'mâl är monterade pã en gemensam hâllare 16.', 'Vid utgängen frän bildalstringsenheten frammatas kopiebladet', 'utefter banan 4 först medelst rullarna 59, därefter medelst rullarna', '30. Kopiebladet genomgar framkallningsenheten 23 och fixeringsen-', 'heten 24 innan det anländer till avläggningsfacke 25. I vissa appa-', '30', 'rater âstadkommes frankallningen medelst en pulverframkallare av', 'vilken som helst känd typ, som emellertid faller utom ramen för', 'föreliggande uppfinning. Kopiebladet genomgär därefter ett känt', 'organ för fixering medelst värme. I andra apparater ästadkommes', 'frankallningen medelst en vätskeframkallare av känd typ. Kopiebladet', '35', 'genomgar därefter ett torkorgan av konventionell typ.', 'Alla dessa beskrivna organ är dessutom med fördel sammansatta', 'av enheter, som är lätt lösbara och utbytbara.']"
